video_id,type,author,text,likes,published
qYDLUDQEv0g,comment,@Moussoucrondiaye1929,Et puis il à parfaitement raison.,1,2025-12-05T19:48:48Z
qYDLUDQEv0g,comment,@awadiaw6076,Ce gars est un don du ciel,2,2025-12-05T16:07:55Z
qYDLUDQEv0g,comment,@IbissDI,Pourtant il a raison…,1,2025-12-05T14:37:59Z
qYDLUDQEv0g,comment,@MamadouDiallo-r7y,Yaw domaram,0,2025-12-05T12:31:53Z
qYDLUDQEv0g,comment,@MoussaKonate-v9w,Fout,0,2025-12-05T09:34:54Z
qYDLUDQEv0g,comment,@jpgomis3935,Blaise Compaoré a payé libéré toute les machine de l'époque de Senghor pour prépare son candidature pour les élections 2029,0,2025-12-05T03:47:29Z
qYDLUDQEv0g,comment,@babadiabate6521,Sa data yaye saye bo Yéwo yaw Abdou Guer,0,2025-12-04T19:40:12Z
qYDLUDQEv0g,reply,@IbissDI,iow sa Yaye amoul datta ap leuf la la yore…,1,2025-12-05T14:38:59Z
qYDLUDQEv0g,comment,@amadoualymbaye6084,Mais abdou mi amna diom ki moy domeram,1,2025-12-04T17:54:54Z
qYDLUDQEv0g,comment,@MamecheikhNdiaye-jt8pp,"Le petit apprenti tailleur 😂😂😂
Tu va bientôt retourner dans le pétrin 
😂😂😂😂😂😂😂😂😂",1,2025-12-04T17:32:14Z
qYDLUDQEv0g,comment,@NiangBamba,Doff Buy wah,1,2025-12-04T16:39:45Z
qYDLUDQEv0g,comment,@babndiaye3975,Abdou amul billaye 😂,4,2025-12-04T15:57:58Z
qYDLUDQEv0g,comment,@papamomarndione,😂😂😂😂😂😂😂😂,4,2025-12-04T10:34:39Z
qYDLUDQEv0g,comment,@ayoubadiallo7033,Abdou jerejefe ❤❤❤,5,2025-12-04T10:27:12Z
